"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"24.04.2025","208,37","204,89","208,83","202,94","46,82M","1,84%"
"23.04.2025","204,60","206,00","208,00","202,80","52,93M","2,43%"
"22.04.2025","199,74","196,12","201,59","195,97","52,98M","3,41%"
"21.04.2025","193,16","193,26","193,80","189,81","46,74M","-1,94%"
"17.04.2025","196,98","197,20","198,83","194,42","52,16M","1,39%"
"16.04.2025","194,27","198,36","200,70","192,37","59,73M","-3,89%"
"15.04.2025","202,14","201,85","203,51","199,80","51,34M","-0,19%"
"14.04.2025","202,52","211,44","212,94","201,16","101,35M","2,21%"
"11.04.2025","198,15","186,10","199,54","186,06","87,44M","4,06%"
"10.04.2025","190,42","189,07","194,78","183,00","121,88M","-4,24%"
"09.04.2025","198,85","171,95","200,61","171,89","184,40M","15,33%"
"08.04.2025","172,42","186,70","190,34","169,21","120,86M","-4,98%"
"07.04.2025","181,46","177,20","194,15","174,62","160,47M","-3,67%"
"04.04.2025","188,38","193,89","199,88","187,34","125,91M","-7,29%"
"03.04.2025","203,19","205,54","207,49","201,25","103,42M","-9,25%"
"02.04.2025","223,89","221,32","225,19","221,02","35,91M","0,31%"
"01.04.2025","223,19","219,80","223,68","218,90","36,41M","0,48%"
"31.03.2025","222,13","217,01","225,62","216,23","65,30M","1,94%"
"28.03.2025","217,90","221,67","223,81","217,68","39,82M","-2,66%"
"27.03.2025","223,85","221,39","224,99","220,56","37,09M","1,05%"
"26.03.2025","221,53","223,51","225,02","220,47","34,53M","-0,99%"
"25.03.2025","223,75","220,77","224,10","220,08","34,49M","1,37%"
"24.03.2025","220,73","221,00","221,48","218,58","44,30M","1,13%"
